task_ct,num_trials,clone_ct,string_len,str_type,time_sec
10000000,3,1,8,OwnedString,8.918268097333334
10000000,3,1,8,ArcStr,4.836639333333333
10000000,3,2,8,OwnedString,4.6459771666666665
10000000,3,2,8,ArcStr,4.647091347
10000000,3,4,8,OwnedString,4.839646583333333
10000000,3,4,8,ArcStr,4.614286291666667
10000000,3,8,8,OwnedString,5.6945931666666665
10000000,3,8,8,ArcStr,5.122372389
10000000,3,1,16,OwnedString,4.807870986
10000000,3,1,16,ArcStr,5.138916944666667
10000000,3,2,16,OwnedString,4.840951139
10000000,3,2,16,ArcStr,5.144727291666666
10000000,3,4,16,OwnedString,4.970674472
10000000,3,4,16,ArcStr,5.1059301249999995
10000000,3,8,16,OwnedString,5.425262458333333
10000000,3,8,16,ArcStr,5.2163726666666665
10000000,3,1,32,OwnedString,6.46747825
10000000,3,1,32,ArcStr,7.353590541666667
10000000,3,2,32,OwnedString,6.758465930666667
10000000,3,2,32,ArcStr,6.897154625
10000000,3,4,32,OwnedString,6.476019166666667
10000000,3,4,32,ArcStr,6.700127222
10000000,3,8,32,OwnedString,6.237717555333333
10000000,3,8,32,ArcStr,6.631698014
10000000,3,1,64,OwnedString,9.400997902666667
10000000,3,1,64,ArcStr,9.973919055666666
10000000,3,2,64,OwnedString,9.498457347333334
10000000,3,2,64,ArcStr,10.031770291666666
10000000,3,4,64,OwnedString,9.369689722333334
10000000,3,4,64,ArcStr,10.104652458333334
10000000,3,8,64,OwnedString,9.144253555333334
10000000,3,8,64,ArcStr,9.748754486000001
